epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3006,1.21875,1.44889,1.0137,0.67388,0.25091,0.27415,0.14263,1.55992,1.425,1.08999,0.0679167,0.000324074,0.000324074
2,67.288,1.01269,0.79617,0.95587,0.17519,0.36964,0.1968,0.12966,1.10561,2.69044,0.96471,0.0349165,0.000657261,0.000657261
3,96.8863,1.00149,0.78562,0.95781,0.71507,0.33422,0.38599,0.2292,1.09522,1.7119,0.98341,0.00191579,0.000989861,0.000989861
4,127.115,0.96711,0.70463,0.94166,0.31378,0.26574,0.28727,0.17475,1.02147,1.8091,0.94874,0.000998003,0.000998003,0.000998003
5,157.879,0.94712,0.67994,0.94221,0.42549,0.49739,0.49249,0.30279,0.90036,0.70815,0.91082,0.000996452,0.000996452,0.000996452
6,192.988,0.90648,0.65426,0.93379,0.80486,0.17654,0.23338,0.11363,1.794,1.47596,1.15734,0.00099446,0.00099446,0.00099446
7,228.831,0.9112,0.64095,0.93026,0.57599,0.46489,0.49133,0.30406,0.82443,0.82306,0.89242,0.000992029,0.000992029,0.000992029
8,266.129,0.88325,0.62127,0.91912,0.55994,0.56163,0.5266,0.3096,1.15713,0.79109,0.97423,0.000989163,0.000989163,0.000989163
9,320.321,0.87419,0.62119,0.9203,0.75507,0.40435,0.49992,0.34153,0.76621,0.71131,0.87674,0.000985862,0.000985862,0.000985862
10,352.335,0.86071,0.60503,0.91544,0.57502,0.57132,0.57955,0.37599,0.8452,0.65183,0.898,0.000982132,0.000982132,0.000982132
11,391.356,0.85111,0.58755,0.91845,0.58289,0.55747,0.57181,0.36852,0.7914,0.62885,0.87836,0.000977975,0.000977975,0.000977975
12,421.357,0.85411,0.6,0.91188,0.5162,0.62403,0.59556,0.40445,0.73874,0.60771,0.86787,0.000973396,0.000973396,0.000973396
13,452.899,0.84325,0.58479,0.90572,0.8084,0.51383,0.61397,0.39313,0.78546,0.62043,0.87557,0.000968399,0.000968399,0.000968399
14,481.97,0.87555,0.58525,0.91402,0.62736,0.53668,0.59923,0.4013,0.86622,0.58423,0.88525,0.00096299,0.00096299,0.00096299
15,510.504,0.79262,0.54145,0.89393,0.61009,0.61019,0.63854,0.42665,0.76181,0.53322,0.86322,0.000957172,0.000957172,0.000957172
16,544.135,0.76747,0.51537,0.88916,0.55637,0.51363,0.56242,0.38049,0.73754,0.58479,0.86082,0.000950953,0.000950953,0.000950953
17,574.195,0.76983,0.51546,0.89162,0.6444,0.53773,0.63455,0.40738,0.73035,0.55015,0.85878,0.000944338,0.000944338,0.000944338
18,602.907,0.78845,0.52631,0.89017,0.67906,0.58309,0.62827,0.44077,0.74328,0.55172,0.8646,0.000937334,0.000937334,0.000937334
19,632.917,0.77526,0.51624,0.89583,0.72176,0.57537,0.64733,0.44298,0.69766,0.51293,0.85836,0.000929948,0.000929948,0.000929948
20,664.051,0.79615,0.52227,0.89547,0.72982,0.57875,0.64794,0.43684,0.69734,0.53225,0.85452,0.000922186,0.000922186,0.000922186
21,694.11,0.73898,0.49542,0.8811,0.74866,0.59127,0.68406,0.45948,0.72212,0.51313,0.85554,0.000914058,0.000914058,0.000914058
22,728.733,0.7929,0.50825,0.89016,0.62602,0.64858,0.64783,0.44256,0.67483,0.51518,0.85009,0.00090557,0.00090557,0.00090557
23,756.932,0.74791,0.4889,0.88305,0.75034,0.65657,0.71738,0.46925,0.72679,0.51351,0.85391,0.000896731,0.000896731,0.000896731
24,789.743,0.73243,0.48396,0.88041,0.69702,0.59344,0.65382,0.44081,0.72774,0.52521,0.85229,0.00088755,0.00088755,0.00088755
25,818.82,0.74098,0.50765,0.87947,0.73538,0.61962,0.69716,0.45631,0.72351,0.55526,0.85197,0.000878036,0.000878036,0.000878036
26,847.959,0.75112,0.49745,0.89133,0.72699,0.66136,0.70358,0.47093,0.75653,0.51131,0.85589,0.000868198,0.000868198,0.000868198
27,881.026,0.7087,0.46725,0.87065,0.79347,0.57144,0.66691,0.44673,0.69697,0.48409,0.85064,0.000858046,0.000858046,0.000858046
28,909.98,0.69804,0.46731,0.87025,0.63512,0.66407,0.678,0.43507,0.73709,0.49096,0.85858,0.00084759,0.00084759,0.00084759
29,938.862,0.69829,0.46784,0.87239,0.67532,0.60911,0.67178,0.44228,0.73241,0.52838,0.85398,0.000836841,0.000836841,0.000836841
30,967.856,0.68869,0.45874,0.86825,0.66609,0.68367,0.68717,0.46164,0.70434,0.48798,0.85281,0.000825808,0.000825808,0.000825808
31,996.759,0.70009,0.45717,0.86995,0.70354,0.64126,0.69571,0.45615,0.6456,0.4837,0.84456,0.000814503,0.000814503,0.000814503
32,1028.39,0.70411,0.45563,0.8743,0.73458,0.62654,0.69729,0.47939,0.65647,0.46881,0.84493,0.000802938,0.000802938,0.000802938
33,1062.36,0.68064,0.4435,0.86558,0.6513,0.7425,0.72288,0.48949,0.66602,0.45405,0.84093,0.000791122,0.000791122,0.000791122
34,1094.32,0.68098,0.43614,0.86634,0.77572,0.63564,0.71482,0.48787,0.68309,0.46658,0.84339,0.000779069,0.000779069,0.000779069
35,1122.13,0.67347,0.43953,0.862,0.78054,0.68285,0.72643,0.51404,0.62772,0.45179,0.83999,0.000766789,0.000766789,0.000766789
36,1158.05,0.67158,0.43044,0.86419,0.67015,0.73625,0.70407,0.47897,0.63443,0.45307,0.83878,0.000754296,0.000754296,0.000754296
37,1192.68,0.66592,0.42373,0.86242,0.74685,0.64467,0.70263,0.49206,0.63024,0.46464,0.84075,0.000741601,0.000741601,0.000741601
38,1221.28,0.65711,0.42317,0.85893,0.749,0.64532,0.7266,0.50278,0.61389,0.46139,0.83762,0.000728717,0.000728717,0.000728717
39,1250.17,0.66487,0.42486,0.86667,0.7876,0.68408,0.74907,0.5028,0.67893,0.44458,0.84661,0.000715656,0.000715656,0.000715656
40,1278.82,0.65375,0.42325,0.8574,0.78068,0.64568,0.73567,0.50633,0.61709,0.45051,0.83745,0.000702432,0.000702432,0.000702432
41,1307.36,0.67502,0.42642,0.8619,0.64692,0.70491,0.72579,0.48195,0.6324,0.44208,0.83827,0.000689058,0.000689058,0.000689058
42,1342.03,0.66721,0.42415,0.85874,0.71833,0.68,0.69939,0.47085,0.64576,0.45982,0.84106,0.000675546,0.000675546,0.000675546
